"Extension","Level","Install date","EP"
"Missile launch","2","2212-08-22 21:05:20","-120"
"Basic ballistics","2","2212-08-22 21:05:02","-360"
"Complex mechanics","4","2212-08-22 21:02:46","-480"
"Critical hit","1","2212-08-22 21:02:07","-360"
"Basic magnetostatics","6","2212-08-22 21:02:03","-2160"
"Target analysis","5","2212-08-22 21:01:44","-1200"
"Target analysis","4","2212-08-22 21:01:42","-960"
"Target analysis","3","2212-08-22 21:01:40","-720"
"Target analysis","2","2212-08-22 21:01:26","-480"
"Sharpshooting","5","2212-08-22 21:01:19","-900"
"Sharpshooting","4","2212-08-22 21:01:18","-720"
"Sharpshooting","3","2212-08-22 21:01:16","-540"
"Precision firing","6","2212-08-22 21:00:59","-2160"
"Advanced robotics","6","2212-08-22 20:59:45","-5040"
"Accelerated reloading","1","2212-08-22 20:59:15","-60"
"Optimized weapon usage","1","2212-08-22 20:58:55","-180"
"Optimized armor usage","1","2212-08-22 20:58:45","-60"
"Improved armor repair","1","2212-08-22 20:58:34","-360"
"Rapid-firing","5","2212-08-22 20:57:44","-900"
"Rapid-firing","4","2212-08-22 20:57:43","-720"
"Rapid-firing","3","2212-08-22 20:57:41","-540"
"Accelerated armor repair","5","2212-08-07 02:04:15","-300"
"Accelerated armor repair","4","2212-08-07 02:04:12","-240"
"Energy management","5","2212-08-07 02:03:27","-1500"
"Energy management","4","2212-08-07 02:03:23","-1200"
"Long range targeting","5","2212-08-07 02:00:16","-300"
"Long range targeting","4","2212-08-07 02:00:13","-240"
"Data processing","6","2212-08-02 21:46:42","-720"
"Optimized electronic warfare","2","2212-08-02 14:17:43","-360"
"Optimized electronic warfare","1","2212-08-02 14:17:33","-180"
"Data processing","5","2212-08-02 03:34:46","-300"
"Mechanics","5","2212-08-02 03:31:45","-300"
"Demobilization","3","2212-08-02 03:31:13","-540"
"Sharpshooting","2","2212-08-02 03:30:49","-360"
"Demobilization","2","2212-08-02 03:30:38","-360"
"Sharpshooting","1","2212-08-02 03:30:14","-180"
"Long range targeting","3","2212-08-02 03:29:28","-180"
"Rapid-firing","2","2212-08-02 03:29:11","-360"
"Long range targeting","2","2212-08-02 03:28:57","-120"
"Demobilization","1","2212-08-02 03:27:42","-180"
"Advanced robotics","5","2212-08-02 03:21:13","-2100"
"Advanced robotics","4","2212-08-02 03:21:11","-1680"
"Advanced magnetostatics","5","2212-08-02 03:21:07","-1200"
"Precision firing","5","2212-08-02 03:20:36","-900"
"Precision firing","4","2212-08-02 03:20:34","-720"
"Advanced magnetostatics","4","2212-08-02 03:20:28","-960"
"Advanced magnetostatics","3","2212-08-02 03:20:24","-720"
"Advanced magnetostatics","2","2212-08-02 03:20:22","-480"
"Advanced robotics","3","2212-08-02 03:20:17","-1260"
"Advanced robotics","2","2212-08-02 03:20:14","-840"
"Jamming electronics","3","2212-08-02 03:08:16","-540"
"Jamming electronics","2","2212-08-02 03:08:14","-360"
"Jamming electronics","1","2212-08-02 03:08:11","-180"
"Advanced magnetostatics","1","2212-08-02 01:57:52","-240"
"Advanced robotics","1","2212-08-02 01:57:10","-420"
"Efficient energy transfer","3","2212-07-24 15:33:23","-360"
"Efficient energy transfer","2","2212-07-24 15:33:21","-240"
"Efficient energy transfer","1","2212-07-24 15:33:19","-120"
"Targeting","3","2212-07-16 12:52:16","-900"
"Nuimqol robot control","5","2212-07-16 12:52:02","-2700"
"Basic robotics","5","2212-07-16 12:52:00","-1500"
"Economical armor usage","1","2212-07-11 23:34:00","-60"
"Long range targeting","1","2212-07-11 23:33:30","-60"
"Rapid-firing","1","2212-07-11 23:33:19","-180"
"Basic magnetostatics","5","2212-07-11 23:33:06","-900"
"Tax reduction","1","2212-07-05 14:39:23","-60"
"Accounting","1","2212-07-05 14:39:20","-60"
"Basic ballistics","1","2212-07-05 13:27:30","-180"
"Missile launch","1","2212-07-05 13:27:27","-60"
"Basic magnetostatics","4","2212-07-04 16:03:23","-720"
"Reactor expansion","6","2212-07-02 16:31:44","-720"
"Improved falloff","3","2212-07-01 01:19:04","-720"
"Improved falloff","2","2212-07-01 01:19:02","-480"
"Accelerated target locking","5","2212-07-01 01:17:13","-600"
"Accelerated target locking","4","2212-07-01 01:17:11","-480"
"Accelerated target locking","3","2212-07-01 01:17:09","-360"
"Accelerated target locking","2","2212-07-01 01:17:07","-240"
"Accelerated target locking","1","2212-07-01 01:17:01","-120"
"Data processing","4","2212-07-01 01:16:58","-240"
"Complex mechanics","3","2212-07-01 01:15:34","-360"
"Complex mechanics","2","2212-07-01 01:15:32","-240"
"Complex mechanics","1","2212-07-01 01:15:29","-120"
"Accelerated armor repair","3","2212-07-01 01:14:43","-180"
"Accumulator expansion","3","2212-07-01 01:14:32","-900"
"Reactor expansion","5","2212-07-01 01:14:06","-300"
"Reactor expansion","4","2212-07-01 01:14:02","-240"
"Reactor expansion","3","2212-07-01 01:14:00","-180"
"Energy management","3","2212-07-01 01:13:31","-900"
"Energy management","2","2212-07-01 01:13:30","-600"
"Energy management","1","2212-07-01 01:13:25","-300"
"Nuimqol robot control","4","2212-07-01 00:50:35","-2160"
"Nuimqol robot control","3","2212-07-01 00:50:33","-1620"
"Nuimqol robot control","2","2212-07-01 00:50:32","-1080"
"Basic robotics","4","2212-07-01 00:50:29","-1200"
"Precision firing","3","2212-07-01 00:49:10","-540"
"Precision firing","2","2212-07-01 00:49:09","-360"
"Basic magnetostatics","3","2212-07-01 00:47:29","-540"
"Basic magnetostatics","2","2212-07-01 00:47:27","-360"
